# Differential cases shared by Mojo and Mojito.
# mode: run (both execute with matching stdout), reject (both reject),
# mojo-only (strict-subset gap), mojito-only (acceptance divergence), or
# output-diff (both execute with intentionally different stdout).
id	mode	fixture
pack-shadow-nested	reject	conformance/fixtures/pack_shadow_nested.mojo
pack-scope-restore	run	conformance/fixtures/pack_scope_restore.mojo
empty-runtime-pack	run	conformance/fixtures/empty_runtime_pack.mojo
type-pack-shadow	reject	conformance/fixtures/type_pack_shadow.mojo
nested-heterogeneous-packs	run	conformance/fixtures/nested_heterogeneous_packs.mojo
nested-pack-forwarding	run	conformance/fixtures/nested_pack_forwarding.mojo
linear-pack-forwarding	run	conformance/fixtures/linear_pack_forwarding.mojo
mixed-pack-spread	reject	conformance/fixtures/mixed_pack_spread.mojo
multiple-pack-spreads	reject	conformance/fixtures/multiple_pack_spreads.mojo
heterogeneous-pack-bound-rejection	reject	conformance/fixtures/heterogeneous_pack_bound_rejection.mojo
complete-call-model	run	conformance/fixtures/complete_call_model.mojo
chained-comparisons	run	conformance/fixtures/chained_comparisons.mojo
conditional-expressions	run	assets/ok/ternary.mojo
while-loop	run	assets/ok/while.mojo
control-break-continue	run	conformance/fixtures/control_break_continue.mojo
tuple-values	run	conformance/fixtures/tuple_values.mojo
noncopyable-tuple-element-transfer	reject	conformance/fixtures/noncopyable_tuple_element_transfer.mojo
tuple-consume-elements	mojito-only	conformance/fixtures/tuple_consume_elements.mojo
tuple-move-transforms	run	conformance/fixtures/tuple_move_transforms.mojo
current-parameter-indexing	run	conformance/fixtures/current_parameter_indexing.mojo
list-values	run	conformance/fixtures/list_values.mojo
protocolized-collections	run	conformance/fixtures/protocolized_collections.mojo
borrowed-iteration-mutation	run	conformance/fixtures/borrowed_iteration_mutation.mojo
parameterized-associated-iterator	run	conformance/fixtures/parameterized_associated_iterator.mojo
copyable-iterator-refinement	run	conformance/fixtures/copyable_iterator_refinement.mojo
copyable-iterator-refinement-read-self	run	conformance/fixtures/copyable_iterator_refinement_read_self.mojo
copyable-iterator-refinement-noncopyable	reject	conformance/fixtures/copyable_iterator_refinement_noncopyable.mojo
copyable-iterator-refinement-mismatch	reject	conformance/fixtures/copyable_iterator_refinement_mismatch.mojo
copyable-iterator-refinement-reverse	reject	conformance/fixtures/copyable_iterator_refinement_reverse.mojo
struct-methods	run	conformance/fixtures/struct_methods.mojo
lifecycle-initialization	run	assets/ok/init_out_self.mojo
unified-lifecycle	run	conformance/fixtures/unified_lifecycle.mojo
native-tuple-field-destruction	run	conformance/fixtures/native_tuple_field_destruction.mojo
current-var-convention	run	conformance/fixtures/current_var_convention.mojo
imm-convention	run	conformance/fixtures/imm_convention.mojo
imm-mut-only-overloads	reject	conformance/fixtures/imm_mut_only_overloads.mojo
bare-kwargs-requires-var	reject	assets/parse_error/bare_kwargs_requires_var.mojo
function-typed-kwargs	run	assets/ok/function_typed_kwargs.mojo
where-message-satisfied	run	assets/ok/where_message_satisfied.mojo
where-message-violated	reject	assets/type_error/where_message_violated.mojo
range-zero-step-empty	run	assets/ok/range_zero_step_empty.mojo
duplicate-import-bindings	reject	conformance/fixtures/duplicate_import_bindings/main.mojo
self-import	reject	conformance/fixtures/self_import.mojo
legacy-owned-convention	reject	conformance/fixtures/legacy_owned_convention.mojo
static-methods	run	assets/ok/static_methods.mojo
reserved-method-name	run	conformance/fixtures/reserved_method_name.mojo
reserved-word-function-name	reject	assets/type_error/reserved_word_function_name.mojo
overload-by-type	run	conformance/fixtures/overload_by_type.mojo
overload-ordering	run	conformance/fixtures/overload_ordering.mojo
variadic-constructor-dispatch	run	assets/ok/overloading_variadic_constructor.mojo
set-variadic-constructor	run	assets/ok/set_variadic_constructor.mojo
compile-time-if	run	conformance/fixtures/comptime_if.mojo
compile-time-parameters	run	conformance/fixtures/comptime_parameters.mojo
owned-return-and-bindings	run	conformance/fixtures/owned_return_and_bindings.mojo
lexical-shadowing	run	conformance/fixtures/lexical_shadowing.mojo
raise-and-handle	run	conformance/fixtures/raise_and_handle.mojo
typed-errors	run	conformance/fixtures/typed_errors.mojo
struct-copy-semantics	run	conformance/fixtures/struct_copy_semantics.mojo
move-transfer	run	conformance/fixtures/move_transfer.mojo
reference-return	run	conformance/fixtures/reference_return.mojo
direct-reference-return-try	run	conformance/fixtures/direct_reference_return_try.mojo
structured-reference-calls	run	conformance/fixtures/structured_reference_calls.mojo
compile-time-constant	run	conformance/fixtures/comptime_constant.mojo
trait-requirement	run	conformance/fixtures/trait_requirement.mojo
wrong-return-type	reject	assets/type_error/wrong_return.mojo
positional-only-by-keyword	reject	assets/type_error/positional_only_by_keyword.mojo
keyword-only-by-position	reject	assets/type_error/keyword_only_by_position.mojo
immutable-mutation	reject	assets/type_error/immutable_mutation.mojo
borrow-aliasing	run	conformance/fixtures/mutable_read_copy.mojo
parametric-ref-mutation	reject	conformance/fixtures/parametric_ref_mutation.mojo
interior-origin-valid	run	conformance/fixtures/interior_origin_valid.mojo
interior-origin-invalidation	reject	conformance/fixtures/interior_origin_invalidation.mojo
interior-origin-return-contract	reject	conformance/fixtures/interior_origin_return_contract.mojo
use-after-move	reject	conformance/fixtures/use_after_move.mojo
file-scope-execution	reject	conformance/fixtures/file_scope_execution.mojo
raises-effect-unchecked	reject	conformance/fixtures/raises_effect_unchecked.mojo
print-without-writable	reject	conformance/fixtures/print_without_writable.mojo
implicit-function-scope	mojo-only	conformance/fixtures/implicit_function_scope.mojo
loop-else	run	conformance/fixtures/loop_else.mojo
implicit-conversion	run	conformance/fixtures/implicit_conversion.mojo
explicit-destroy	run	conformance/fixtures/explicit_destroy.mojo
raising-explicit-destroy	mojito-only	conformance/fixtures/raising_explicit_destroy.mojo
core-protocols	run	conformance/fixtures/core_protocols.mojo
indexer-normalization	mojito-only	conformance/fixtures/indexer_normalization.mojo
parameter-list-where-removed	reject	conformance/fixtures/parameter_list_where_removed.mojo
legacy-reflected-field-type	reject	conformance/fixtures/legacy_reflected_field_type.mojo
reflected-field-handles	run	conformance/fixtures/reflected_field_handles.mojo
late-initialization	mojo-only	conformance/fixtures/late_initialization.mojo
context-managers	run	conformance/fixtures/context_managers.mojo
loop-completion	run	conformance/fixtures/loop_completion.mojo
reference-iteration	run	conformance/fixtures/reference_iteration.mojo
pattern-completion	run	conformance/fixtures/pattern_completion.mojo
string-interpolation	run	conformance/fixtures/string_interpolation.mojo
walrus-expressions	run	conformance/fixtures/walrus_expressions.mojo
slice-completion	run	conformance/fixtures/slice_completion.mojo
subscript-call-contracts	run	conformance/fixtures/subscript_call_contracts.mojo
element-call-dispatch	run	conformance/fixtures/element_call_dispatch.mojo
subscript-contract-edges	run	conformance/fixtures/subscript_contract_edges.mojo
augmented-subscript-contract	run	conformance/fixtures/augmented_subscript_contract.mojo
augmented-subscript-shapes	run	conformance/fixtures/augmented_subscript_shapes.mojo
augmented-keyword-setter	run	conformance/fixtures/augmented_keyword_setter.mojo
augmented-index-conversion	run	conformance/fixtures/augmented_index_conversion.mojo
augmented-mutating-index	run	conformance/fixtures/augmented_mutating_index.mojo
augmented-reference-getter	run	conformance/fixtures/augmented_reference_getter.mojo
projected-subscript-reference	run	conformance/fixtures/projected_subscript_reference.mojo
projected-pointer-subscript	mojito-only	conformance/fixtures/projected_pointer_subscript.mojo
setter-overload-extension	reject	conformance/fixtures/setter_overload_extension.mojo
owned-nominal-element-copy	run	conformance/fixtures/owned_nominal_element_copy.mojo
index-implicit-conversion	run	conformance/fixtures/index_implicit_conversion.mojo
slice-implicit-conversion-rejected	reject	conformance/fixtures/slice_implicit_conversion_rejected.mojo
subscript-mutable-aliasing	reject	conformance/fixtures/subscript_mutable_aliasing.mojo
subscript-late-argument-invalidation	reject	conformance/fixtures/subscript_late_argument_invalidation.mojo
dict-projected-value-refresh	mojo-only	conformance/fixtures/dict_projected_value_refresh.mojo
operator-completion	run	conformance/fixtures/operator_completion.mojo
current-inplace-dunders	run	conformance/fixtures/current_inplace_dunders.mojo
inplace-subscript-dunders	run	conformance/fixtures/inplace_subscript_dunders.mojo
advanced-origins	mojito-only	conformance/fixtures/advanced_origins.mojo
pointer-origin-aggregate	run	conformance/fixtures/pointer_origin_aggregate.mojo
hidden-unsafe-any-origin	reject	conformance/fixtures/hidden_unsafe_any_origin.mojo
reference-valued-aggregate	mojito-only	conformance/fixtures/reference_valued_aggregate.mojo
reborrows	run	conformance/fixtures/reborrows.mojo
pointer-provenance	mojito-only	conformance/fixtures/pointer_provenance.mojo
current-pointer-allocation	run	conformance/fixtures/current_pointer_allocation.mojo
pointer-origin-escape	reject	conformance/fixtures/pointer_origin_escape.mojo
pointer-loan-conflict	mojo-only	conformance/fixtures/pointer_loan_conflict.mojo
static-pointer-alloc-removed	reject	assets/type_error/static_pointer_alloc_removed.mojo
variant-completion	run	conformance/fixtures/variant_completion.mojo
kwargs-forwarding	run	conformance/fixtures/kwargs_forwarding.mojo
kwargs-call-kinds	run	conformance/fixtures/kwargs_call_kinds.mojo
trait-requirement-effects	run	conformance/fixtures/trait_requirement_effects.mojo
owned-iteration	run	conformance/fixtures/owned_iteration.mojo
collection-comprehensions	run	conformance/fixtures/collection_comprehensions.mojo
raise-caught-error	run	conformance/fixtures/raise_caught_error.mojo
string-keyword-slice	run	conformance/fixtures/string_keyword_slice.mojo
optional-owning-surface	run	conformance/fixtures/optional_owning_surface.mojo
set-owned-iteration	run	conformance/fixtures/set_owned_iteration.mojo
span-iteration-write-through	run	conformance/fixtures/span_iteration_write_through.mojo
variant-owning-ops	run	conformance/fixtures/variant_owning_ops.mojo
insert-displacement	run	conformance/fixtures/insert_displacement.mojo
string-positional-slice	reject	conformance/fixtures/string_positional_slice.mojo
string-literal-slice	reject	conformance/fixtures/string_literal_slice.mojo
owned-pointer-deref	mojo-only	conformance/fixtures/owned_pointer_deref.mojo
span-parameter-bare-element	reject	conformance/fixtures/span_parameter_bare_element.mojo
len-string-units	mojito-only	conformance/fixtures/len_string_units.mojo
subtree-origin-cast	mojito-only	conformance/fixtures/subtree_origin_cast.mojo
simd-size-removed	reject	assets/type_error/simd_size_removed_alias.mojo
typelist-size-removed	reject	assets/type_error/typelist_size_removed_alias.mojo
read-convention-removed	reject	assets/parse_error/read_convention_removed.mojo
function-type-where-bound	run	assets/ok/function_type_where_bound.mojo
function-type-where-unconstrained	run	assets/ok/function_type_where_unconstrained_actual.mojo
function-type-where-violates	reject	assets/type_error/function_type_where_call_violates.mojo
function-type-where-missing	reject	assets/type_error/function_type_where_missing_on_contract.mojo
function-type-where-no-binders	mojo-only	conformance/fixtures/function_type_where_no_binders.mojo
function-type-where-alias	mojo-only	conformance/fixtures/function_type_where_alias.mojo
contextual-member-static	run	assets/ok/contextual_member_static.mojo
contextual-member-no-context	reject	assets/type_error/contextual_member_no_context.mojo
contextual-member-unknown	reject	assets/type_error/contextual_member_unknown.mojo
contextual-member-nonstruct	reject	assets/type_error/contextual_member_nonstruct.mojo
contextual-member-value	mojo-only	conformance/fixtures/contextual_member_value.mojo
list-anytype-element	run	assets/ok/list_anytype_element.mojo
list-anytype-append	reject	assets/type_error/list_anytype_append_requires_movable.mojo
array-comparable	run	assets/ok/array_comparable.mojo
array-concat-repeat	mojo-only	conformance/fixtures/array_concat_repeat.mojo
array-defaultable	mojo-only	conformance/fixtures/array_defaultable.mojo
string-capacity	run	assets/ok/string_capacity.mojo
maybe-uninit-write	run	assets/ok/maybe_uninit_write.mojo
maybe-uninit-write-nontrivial	reject	assets/type_error/maybe_uninit_write_nontrivial.mojo
dict-requires-hashable-key	reject	assets/type_error/dict_requires_hashable_key.mojo
set-requires-hashable-element	reject	assets/type_error/set_requires_hashable_element.mojo
dict-views-iteration	run	assets/ok/dict_views_iteration.mojo
dict-view-len-rejected	reject	assets/type_error/dict_view_len_rejected.mojo
dict-view-index-rejected	reject	assets/type_error/dict_view_index_rejected.mojo
dict-methods-growth	run	assets/ok/dict_methods_growth.mojo
set-methods-growth	run	assets/ok/set_methods_growth.mojo
set-ref-write-gap	mojo-only	conformance/fixtures/set_ref_write_gap.mojo
dict-view-source-mutation-gap	mojo-only	conformance/fixtures/dict_view_source_mutation_gap.mojo
list-methods-growth	run	assets/ok/list_methods_growth.mojo
list-extend-consumes	reject	assets/ownership_error/list_extend_consumes.mojo
dict-take-items	run	assets/ok/dict_take_items.mojo
comptime-shadowed-locals	run	assets/ok/comptime_shadowed_locals.mojo
origin-argument-direct-application	run	conformance/fixtures/origin_argument_direct_application.mojo
bare-generic-field-omitted-params	reject	conformance/fixtures/bare_generic_field_omitted_params.mojo
origin-slot-omitted-application	reject	conformance/fixtures/origin_slot_omitted_application.mojo
delegated-reference-projection	run	conformance/fixtures/delegated_reference_projection.mojo
ref-binding-temporary-source	run	conformance/fixtures/ref_binding_temporary_source.mojo
origin-placeholder-initialized-local	run	conformance/fixtures/origin_placeholder_initialized_local.mojo
origin-placeholder-field	reject	conformance/fixtures/origin_placeholder_field.mojo
unqualified-struct-origin-clause	reject	conformance/fixtures/unqualified_struct_origin_clause.mojo
pointer-field-iterator-storage	run	conformance/fixtures/pointer_field_iterator_storage.mojo
origin-delegated-call-arguments	run	conformance/fixtures/origin_delegated_call_arguments.mojo
origin-delegated-multi-binder	run	conformance/fixtures/origin_delegated_multi_binder.mojo
origin-delegated-parameter-receiver	run	conformance/fixtures/origin_delegated_parameter_receiver.mojo
implicit-copy-owned-argument	reject	conformance/fixtures/implicit_copy_owned_argument.mojo
implicit-copy-return-local	reject	conformance/fixtures/implicit_copy_return_local.mojo
implicit-copy-var-init	reject	conformance/fixtures/implicit_copy_var_init.mojo
list-concat-transfer	run	conformance/fixtures/list_concat_transfer.mojo
string-implicit-copy	run	conformance/fixtures/string_implicit_copy.mojo
hashlib-values	run	assets/ok/hashlib_values.mojo
hashlib-explicit-hashers	run	assets/ok/hashlib_explicit_hasher_containers.mojo
hashable-user-struct	run	conformance/fixtures/hashable_user_struct.mojo
parametric-statics	run	assets/ok/parametric_static_methods.mojo
parametric-static-arity	reject	assets/type_error/parametric_static_arity.mojo
tuple-hashable	run	assets/ok/tuple_hashable_dict_key.mojo
tuple-unhashable-key	reject	assets/type_error/tuple_unhashable_element_key.mojo
slice-descriptor-protocols	run	assets/ok/slice_descriptor_protocols.mojo
contiguous-slice-not-equatable	reject	assets/type_error/contiguous_slice_not_equatable.mojo
optional-value-protocols	run	assets/ok/optional_value_protocols.mojo
optional-dict-keys	run	conformance/fixtures/optional_dict_keys.mojo
optional-equatable-requires-element	reject	assets/type_error/optional_equatable_requires_element.mojo
optional-or-else-consumes-receiver	reject	assets/type_error/optional_or_else_consumes_receiver.mojo
optional-is-none	run	assets/ok/optional_is_none.mojo
is-operator-non-struct	reject	assets/type_error/is_operator_non_struct.mojo
is-operator-missing-dunder	reject	assets/type_error/is_operator_missing_dunder.mojo
variant-init-with	run	assets/ok/variant_init_with_constructor.mojo
variant-unsafe-get	run	assets/ok/variant_unsafe_get_static_supported.mojo
variant-hash-key	run	assets/ok/variant_hash_dict_key.mojo
variant-init-with-no-match	reject	assets/type_error/variant_init_with_no_match.mojo
string-replace-join-strip	run	assets/ok/nominal_string_replace.mojo
string-join	run	assets/ok/nominal_string_join.mojo
string-strip-views	run	assets/ok/nominal_string_strip.mojo
string-search-extras	run	assets/ok/nominal_string_search_extras.mojo
string-split-forms	run	assets/ok/nominal_string_split_forms.mojo
string-bool-mul	run	assets/ok/nominal_string_bool_mul.mojo
string-span-equality	run	assets/ok/string_span_equatable.mojo
string-case-predicates	run	assets/ok/nominal_string_case.mojo
string-predicates	run	assets/ok/nominal_string_predicates.mojo
string-justify	run	assets/ok/nominal_string_justify.mojo
codepoint-predicates	run	assets/ok/nominal_string_codepoint_predicates.mojo
string-bytes-span	run	assets/ok/nominal_string_bytes_capacity.mojo
string-parse	run	assets/ok/nominal_string_parse.mojo
string-parse-errors	run	assets/ok/nominal_string_parse_errors.mojo
string-codepoint-iter	run	assets/ok/nominal_string_codepoint_iter.mojo
raise-borrowed-string-parameter	run	assets/ok/raise_borrowed_string_parameter.mojo
repr-type-names	run	assets/ok/repr_type_names.mojo
repr-vocabulary	run	conformance/fixtures/repr_vocabulary.mojo
reflected-operators	run	assets/ok/reflected_operators.mojo
invert-operator	run	assets/ok/invert_operator.mojo
collection-truthiness	run	assets/ok/collection_truthiness.mojo
tuple-struct-element-equality	run	assets/ok/tuple_struct_element_equality.mojo
reversed-iteration	run	assets/ok/reversed_iteration.mojo
next-builtin	run	conformance/fixtures/next_builtin.mojo
list-explicit-params-with-elements	reject	assets/type_error/list_explicit_params_with_elements.mojo
string-view-equality	run	assets/ok/string_view_equality.mojo
generic-equatable-dispatch	run	assets/ok/generic_equatable_dispatch.mojo
generic-ctor-literal-materialization	run	assets/ok/generic_ctor_literal_materialization.mojo
generic-struct-instance-bodies	run	assets/ok/generic_struct_instance_bodies.mojo
generic-struct-instance-dispatch	run	assets/ok/generic_struct_instance_dispatch.mojo
generic-instance-repr	run	conformance/fixtures/generic_instance_repr.mojo
variadic-pack-forwarding-generic-def	run	assets/ok/variadic_pack_forwarding_generic_def.mojo
