# The pinned Mojo's verdict on every fixture in the assets/ error folders,
# the oracle scripts/sweep-assets-mojo --errors gates against.
#
# An error fixture is rejected by both compilers, so an exit code proves
# nothing. Agreement here is the VERDICT: the pin must reject what the four
# compile-error folders claim it rejects, and must compile-and-trap what
# runtime_error claims. Mojito's own message is never compared with the pin's —
# it carries no source location outside the parser, and the two wordings differ
# for most fixtures by design. tests/corpus_test.rs owns Mojito's side through
# each fixture's `# expect:` directive; this file owns the pin's side only.
#
# verdict:  compile-reject  the pin refused to compile it
#           trap            the pin compiled it and it failed at run time
#           runs            the pin compiled it and it exited 0
#           timeout         the pin did not finish inside 60s
#
# family:   agree           the verdict matches the folder, on the same defect
#           a burn-down name (self-qualification, missing-import,
#                           iterator-protocol, unbound-parameter, no-main,
#                           alias-keyword, ledgered) — the pin rejected it, but
#                           for a spelling the fixture never set out to test, so
#                           the defect it pins went unexamined. The names are
#                           the ones conformance/assets-mojo-rejects.tsv uses.
#           subset          the pin accepts it and Mojito is deliberately
#                           stricter (docs/non-goals.md)
#           divergence      the pin accepts it and Mojito should not reject it,
#                           or not for that reason (docs/roadmap.md)
#           skip            not comparable under this oracle
#
# upstream: for compile-reject and trap, the pin's own first complaint, which
# the sweep re-checks so a re-pin's rewording or an earlier complaint shows up;
# for runs, a one-line note on what Mojito rejects instead.
#
# Lifting a mask moves a row to another family rather than closing it: the pin
# reports one complaint at a time.
# swept-count	318
fixture	verdict	family	upstream
assets/type_error/comptime_dict_result_not_freezable.mojo	runs	subset	the pin runs it; Mojito rejects: cannot cross back from VM CTFE
assets/type_error/comptime_if_instantiated_bad_branch.mojo	compile-reject	agree	error: cannot implicitly convert 'StringLiteral["bad"]' value to 'Int'
assets/type_error/comptime_list_runtime_use.mojo	compile-reject	agree	error: cannot materialize comptime value of type 'Array[Int, Int(3)]' to runtime because it is not 'ImplicitlyCopyable'
assets/type_error/comptime_pointer_struct_rejected.mojo	runs	divergence	the pin runs it; Mojito rejects: needs fieldwise construction
assets/type_error/comptime_struct_missing_field.mojo	compile-reject	agree	error: 'Extent' value has no attribute 'missing'
assets/type_error/contextual_member_no_context.mojo	compile-reject	agree	error: cannot resolve inferred member without a contextual type
assets/type_error/contextual_member_nonstruct.mojo	compile-reject	agree	error: 'Int' value has no attribute 'red'
assets/type_error/contextual_member_unknown.mojo	compile-reject	agree	error: 'Color' value has no attribute 'nope'
assets/type_error/contiguous_slice_not_equatable.mojo	compile-reject	agree	error: use of unknown declaration 'ContiguousSlice'
assets/type_error/copy_method_requires_copyable.mojo	compile-reject	agree	error: 'Plain' value has no attribute 'copy'
assets/type_error/copyable_bound_rejects_move_only.mojo	compile-reject	agree	error: invalid call to 'duplicate': value passed to 'x' cannot be converted from 'Handle' to 'T', argument type 'Handle' does not conform to trait 'Copyable'
assets/type_error/copyable_field_rejects_move_only.mojo	compile-reject	agree	error: cannot synthesize copy constructor because field 'h' has non-copyable type 'Handle'
assets/type_error/def_typed_display_rejected.mojo	runs	divergence	the pin runs it; Mojito rejects: collection display element
assets/type_error/def_typed_element_rejected.mojo	compile-reject	agree	error: 'List' parameter 'T' has 'AnyType' type, but value has type 'AnyTrait[def(Int) -> Int]'
assets/type_error/def_typed_field_rejected.mojo	compile-reject	agree	error: struct fields do not support trait types; 'def(Int) -> Int' is a trait, use a concrete type or compile-time generic
assets/type_error/def_typed_local_annotation_rejected.mojo	compile-reject	agree	error: cannot implicitly convert 'def increment(x: Int) thin -> Int' value to 'def(Int) -> Int'
assets/type_error/dict_requires_hashable_key.mojo	compile-reject	agree	error: 'Dict' parameter 'K' has 'KeyElement' type, but value has type 'AnyStruct[Key]'
assets/type_error/dict_view_index_rejected.mojo	compile-reject	agree	error: '_DictKeyIter[Int, Int, AHasher[SIMD[.uint64, 4](0)], origin_of(d)]' is not subscriptable, it does not implement the `__getitem__`/`__setitem__` methods
assets/type_error/dict_view_len_rejected.mojo	compile-reject	agree	error: no matching function in call to 'len'
assets/type_error/dtype_runtime_value_rejected.mojo	runs	divergence	the pin runs it; Mojito rejects: Undefined variable 'DType'
assets/type_error/dtype_value_param_type_arg.mojo	compile-reject	agree	error: invalid call to 'convert': 'convert' parameter 'dt' has 'DType' type, but value has type 'AnyStruct[Int]'
assets/type_error/element_call_non_callable_element.mojo	compile-reject	agree	error: 'Int' does not implement the '__call__' method
assets/type_error/element_call_type_brackets_reject.mojo	compile-reject	agree	error: no matching method in call to '__getitem__'
assets/type_error/empty_subscript_non_pointer.mojo	compile-reject	agree	error: no matching method in call to '__getitem__'
assets/type_error/equatable_no_ordering.mojo	compile-reject	agree	error: 'T' does not implement the '__lt__' method
assets/type_error/explicit_destroy_conditional.mojo	runs	divergence	the pin runs it; Mojito rejects: was conditionally destroyed
assets/type_error/explicit_destroy_discard.mojo	compile-reject	agree	error: 'tx' abandoned without being explicitly destroyed: call commit or rollback
assets/type_error/explicit_destroy_double.mojo	compile-reject	agree	error: use of uninitialized value 'resource'
assets/type_error/explicit_destroy_not_yet_executable.mojo	compile-reject	agree	error: 'resource' abandoned without being explicitly destroyed: close the resource
assets/type_error/explicit_destroy_partial_move.mojo	runs	divergence	the pin runs it; Mojito rejects: is incomplete and cannot use a whole-value destructor
assets/type_error/explicit_destroy_raising.mojo	compile-reject	agree	error: use of uninitialized value 'transaction'
assets/type_error/external_call_string_argument.mojo	compile-reject	agree	error: function instantiation failed
assets/type_error/external_call_unknown_callee.mojo	runs	subset	the pin runs it; Mojito rejects: is not in Mojito's libc allowlist
assets/type_error/fieldwise_anytype_field.mojo	compile-reject	agree	error: field 'a' has non-'Deinitable' type 'T'
assets/type_error/function_type.mojo	compile-reject	agree	error: cannot implicitly convert 'def wrong(value: String) thin -> Int' value to 'def(Int) thin -> Int' in 'var' initializer
assets/type_error/function_type_where_call_violates.mojo	compile-reject	agree	error: violated constraint
assets/type_error/function_type_where_missing_on_contract.mojo	compile-reject	agree	error: invalid call to 'apply': 'apply' parameter 'F' has 'def[w: Int](Int) thin -> None' type, but value has type 'def kernel[w: Int](x: Int) thin -> None where (w > Int(0))'
assets/type_error/generic_callable_value_contextual_specialization.mojo	compile-reject	agree	error: cannot implicitly convert 'def identity[T: Copyable](value: T) thin -> T' value to 'def(Int) thin -> Int' in 'var' initializer
assets/type_error/generic_ctfe_impure.mojo	runs	divergence	the pin runs it; Mojito rejects: not a compile-time value
assets/type_error/hashable_bound_value_hash.mojo	compile-reject	agree	error: invalid call to '__hash__': missing required argument: 'hasher'
assets/type_error/hashable_no_equality.mojo	compile-reject	agree	error: 'K' does not implement the '__eq__' method
assets/type_error/hashable_value_returning_hash.mojo	runs	divergence	the pin runs it; Mojito rejects: does not conform to trait 'Hashable'
assets/type_error/hasher_missing_finish.mojo	compile-reject	agree	error: 'BrokenHasher' does not implement all requirements for 'Hasher'
assets/type_error/hasher_uint64_leaf.mojo	compile-reject	agree	error: 'SumHasher' does not implement all requirements for 'Hasher'
assets/type_error/hasher_wrong_finish_type.mojo	compile-reject	agree	error: 'NarrowHasher' does not implement all requirements for 'Hasher'
assets/type_error/imm_origin_binder_pointer_write.mojo	compile-reject	agree	error: expression must be mutable in assignment
assets/type_error/imm_origin_mut_binder.mojo	compile-reject	agree	error: value passed to 'o' cannot be converted from 'ImmOrigin' to 'MutOrigin'
assets/type_error/imm_origin_pointer_write.mojo	compile-reject	agree	error: expression must be mutable in assignment
assets/type_error/immutable_mutation.mojo	compile-reject	agree	error: expression must be mutable in assignment
assets/type_error/implicit_copy_append_element.mojo	compile-reject	agree	error: value of type 'List[Int]' cannot be implicitly copied, it does not conform to 'ImplicitlyCopyable'
assets/type_error/implicit_copy_field_store.mojo	compile-reject	agree	error: value of type 'List[Int]' cannot be implicitly copied, it does not conform to 'ImplicitlyCopyable'
assets/type_error/implicit_copy_generic_copyable_param.mojo	compile-reject	agree	error: value of type 'T' cannot be implicitly copied, it does not conform to 'ImplicitlyCopyable'
assets/type_error/implicit_copy_list_concat.mojo	compile-reject	agree	error: value of type 'List[Int]' cannot be implicitly copied, it does not conform to 'ImplicitlyCopyable'
assets/type_error/implicit_copy_owned_argument.mojo	compile-reject	agree	error: value of type 'List[Int]' cannot be implicitly copied, it does not conform to 'ImplicitlyCopyable'
assets/type_error/implicit_copy_reference_result.mojo	compile-reject	agree	error: value of type 'List[Int]' cannot be implicitly copied, it does not conform to 'ImplicitlyCopyable'
assets/type_error/implicit_copy_return_local.mojo	compile-reject	agree	error: value of type 'List[Int]' cannot be implicitly copied, it does not conform to 'ImplicitlyCopyable'
assets/type_error/implicit_copy_var_init.mojo	compile-reject	agree	error: value of type 'List[Int]' cannot be implicitly copied, it does not conform to 'ImplicitlyCopyable'
assets/type_error/implicit_two_param_ref_rejected.mojo	compile-reject	agree	error: '@implicit' initializers must accept a single positional argument value
assets/type_error/implicitly_copyable_rejects_explicit_copy.mojo	compile-reject	agree	error: invalid call to 'duplicate_implicit': value passed to 'x' cannot be converted from 'ExplicitBox' to 'T', argument type 'ExplicitBox' does not conform to trait 'ImplicitlyCopyable'
assets/type_error/indexer_int_return.mojo	compile-reject	agree	error: 'Offset' does not implement all requirements for 'Indexer'
assets/type_error/indexer_missing_conversion.mojo	compile-reject	agree	error: 'BadIndex' does not implement all requirements for 'Indexer'
assets/type_error/inplace_bad_arg.mojo	compile-reject	agree	error: invalid call to '__iadd__': value passed to 'amount' cannot be converted from 'StringLiteral["not an int"]' to 'Int'
assets/type_error/inplace_bitwise_missing.mojo	compile-reject	agree	error: 'OnlyOr' does not implement the '__ior__' method
assets/type_error/inplace_immutable.mojo	compile-reject	agree	error: expression must be mutable for in-place operator destination
assets/type_error/inplace_missing.mojo	compile-reject	agree	error: 'OnlyAdd' does not implement the '__iadd__' method
assets/type_error/inplace_raises_unhandled.mojo	compile-reject	agree	error: cannot call function that may raise in a context that cannot raise
assets/type_error/inplace_subscript_bad_arg.mojo	compile-reject	agree	error: invalid call to '__iadd__': value passed to 'amount' cannot be converted from 'StringLiteral["not an int"]' to 'Int'
assets/type_error/inplace_subscript_missing.mojo	compile-reject	agree	error: 'Only' does not implement the '__iadd__' method
assets/type_error/inplace_subscript_raises_unhandled.mojo	compile-reject	agree	error: cannot call function that may raise in a context that cannot raise
assets/type_error/is_operator_missing_dunder.mojo	compile-reject	agree	error: 'Plain' does not implement the '__is__' method
assets/type_error/is_operator_non_struct.mojo	compile-reject	agree	error: 'Int' does not implement the '__is__' method
assets/type_error/is_same_type_removed.mojo	compile-reject	agree	error: use of unknown declaration 'is_same_type'
assets/type_error/keyword_only_by_position.mojo	compile-reject	agree	error: invalid call to 'kw_only': missing required argument: 'b'
assets/type_error/keyword_slice_assignment_rejected.mojo	compile-reject	agree	error: use of unknown declaration 'ContiguousSlice'
assets/type_error/keyword_subscript_assignment.mojo	compile-reject	agree	error: expression must be mutable in assignment
assets/type_error/keyword_subscript_unknown_keyword.mojo	compile-reject	agree	error: invalid call to '__getitem__': missing required argument: 'byte'
assets/type_error/lambda_capturing_thin_contract.mojo	compile-reject	agree	error: invalid call to '__call__': value cannot be converted from type value '$0' to an instance of '$0'; did you mean to instantiate '$0'?
assets/type_error/lambda_comptime_initializer.mojo	runs	divergence	the pin runs it; Mojito rejects: not a compile-time value
assets/type_error/lambda_empty_capture_list.mojo	compile-reject	agree	error: Could not infer capture convention of the captured value z
assets/type_error/lambda_fixed_none.mojo	compile-reject	agree	error: cannot implicitly convert 'IntLiteral[2]' value to 'None' in return value
assets/type_error/lambda_mut_immutable_capture.mojo	compile-reject	agree	error: register passible value 'seed' can not be captured by 'mut'. Do you mean 'imm'?
assets/type_error/lambda_partial_parameter_application.mojo	compile-reject	agree	error: invalid call to 'apply': value passed to 'f' cannot be converted from unknown overload to 'def(x: Int) capturing thin -> Int'
assets/type_error/legacy_implicitly_deletable.mojo	compile-reject	agree	error: use of unknown declaration 'ImplicitlyDestructible'
assets/type_error/list_anytype_append_requires_movable.mojo	compile-reject	agree	error: invalid call to 'append': violated constraint
assets/type_error/list_element_not_hashable.mojo	compile-reject	agree	error: no matching function in call to 'hash'
assets/type_error/list_explicit_params_with_elements.mojo	compile-reject	agree	error: no matching function in initialization
assets/type_error/loop_binding_consuming_non_implicit.mojo	compile-reject	agree	error: failed to infer parameter 'origin', specify the parameter or use '_' or '...' to unbind the parameter explicitly
assets/type_error/loop_immutable_binding_mutation.mojo	compile-reject	agree	error: expression must be mutable for in-place operator destination
assets/type_error/mapping_key_ref_write.mojo	runs	divergence	the pin runs it; Mojito rejects: must be mutable
assets/type_error/maybe_uninit_copy_nontrivial.mojo	compile-reject	agree	error: value of type 'MaybeUninit[String]' cannot be implicitly copied, it does not conform to 'ImplicitlyCopyable'
assets/type_error/maybe_uninit_deinit_requires_deinitable.mojo	compile-reject	agree	error: invalid call to 'unsafe_deinit': violated constraint
assets/type_error/maybe_uninit_write_nontrivial.mojo	compile-reject	agree	error: invalid call to 'write': violated constraint
assets/type_error/maybe_uninitialized.mojo	compile-reject	agree	error: use of uninitialized value 'value'
assets/type_error/mlir_type_unsupported.mojo	compile-reject	agree	error: cannot implicitly convert '__mlir_type.index' value to '__mlir_type.i64' in return value
assets/type_error/movable_where_false_transfer.mojo	compile-reject	agree	error: cannot transfer value into destination, because 'Pinned' doesn't conform to 'Movable'
assets/type_error/mut_origin_binder_rejects_immutable_pointer.mojo	compile-reject	agree	error: invalid call to 'bump': value passed to 'p' cannot be converted from 'Pointer[Int, origin_of(x)]' to 'Pointer[Int, o]'
assets/type_error/mut_origin_constructor_rejects_immutable_pointer.mojo	compile-reject	agree	error: no matching function in initialization
assets/type_error/mut_untracked_origin_local.mojo	compile-reject	agree	error: invalid call to 'mutate_untracked': value passed to 'value' cannot be converted from 'Int' to ref 'Int'
assets/type_error/nominal_string_codepoint_arithmetic.mojo	compile-reject	agree	error: invalid call to '__add__': value passed to 'rhs' cannot be converted from 'IntLiteral[1]' to 'StringSpan[rhs.origin]', it depends on an unresolved parameter 'rhs.origin.mut'
assets/type_error/nominal_string_codepoint_construction.mojo	runs	divergence	the pin runs it; Mojito rejects: no constructor overload matches
assets/type_error/nominal_string_default_rebind.mojo	compile-reject	agree	error: cannot implicitly convert 'String' value to 'StringLiteral[_]'
assets/type_error/nominal_string_positional_index.mojo	compile-reject	agree	error: String does not support direct positional indexing like `s[i]` because Mojo strings are UTF-8 encoded, and the same position can mean three different things. Use one of: `s[byte=i]` for a raw UTF-8 byte, `s[codepoint=i]` for a Unicode code point, or `s[grapheme=i]` for a user-visible character (grapheme cluster).
assets/type_error/nominal_string_positional_slice_removed.mojo	compile-reject	agree	error: String does not support direct positional slicing like `s[a:b]` because Mojo strings are UTF-8 encoded, and the same range can mean different things. Use `s[byte=a:b]` to slice by raw UTF-8 byte positions, or `s[codepoint=a:b]` to slice by Unicode code points.
